[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: <class 'atari_wrapper.FrameStack'> doesn't implement 'reset' method, but it implements deprecated '_reset' method.[0m
23 frames: done 1 games, mean reward 0.0, epsilon 1.0, speed 542.54 frames/s
2311 frames: done 74 games, mean reward 0.233, epsilon 0.97, speed 543.4 frames/s
2334 frames: done 75 games, mean reward 0.233, epsilon 0.97, speed 401.52 frames/s
2357 frames: done 76 games, mean reward 0.233, epsilon 0.97, speed 542.79 frames/s
2380 frames: done 77 games, mean reward 0.233, epsilon 0.97, speed 517.95 frames/s
2403 frames: done 78 games, mean reward 0.233, epsilon 0.97, speed 524.8 frames/s
2426 frames: done 79 games, mean reward 0.233, epsilon 0.97, speed 532.12 frames/s
2449 frames: done 80 games, mean reward 0.233, epsilon 0.97, speed 393.82 frames/s
2472 frames: done 81 games, mean reward 0.233, epsilon 0.97, speed 535.99 frames/s
2568 frames: done 82 games, mean reward 0.3, epsilon 0.97, speed 565.16 frames/s
2591 frames: done 83 games, mean reward 0.3, epsilon 0.97, speed 534.89 frames/s
2660 frames: done 84 games, mean reward 0.333, epsilon 0.97, speed 569.94 frames/s
2683 frames: done 85 games, mean reward 0.333, epsilon 0.97, speed 380.62 frames/s
2752 frames: done 86 games, mean reward 0.3, epsilon 0.97, speed 570.7 frames/s
2775 frames: done 87 games, mean reward 0.3, epsilon 0.97, speed 541.27 frames/s
2847 frames: done 88 games, mean reward 0.333, epsilon 0.97, speed 554.83 frames/s
2870 frames: done 89 games, mean reward 0.267, epsilon 0.97, speed 539.1 frames/s
2941 frames: done 90 games, mean reward 0.267, epsilon 0.96, speed 503.68 frames/s
2964 frames: done 91 games, mean reward 0.267, epsilon 0.96, speed 538.73 frames/s
2987 frames: done 92 games, mean reward 0.267, epsilon 0.96, speed 514.16 frames/s
3010 frames: done 93 games, mean reward 0.233, epsilon 0.96, speed 481.44 frames/s
3106 frames: done 94 games, mean reward 0.3, epsilon 0.96, speed 563.07 frames/s
3129 frames: done 95 games, mean reward 0.3, epsilon 0.96, speed 403.44 frames/s
3152 frames: done 96 games, mean reward 0.3, epsilon 0.96, speed 514.1 frames/s
3175 frames: done 97 games, mean reward 0.267, epsilon 0.96, speed 533.52 frames/s
3198 frames: done 98 games, mean reward 0.267, epsilon 0.96, speed 518.64 frames/s
3221 frames: done 99 games, mean reward 0.267, epsilon 0.96, speed 538.7 frames/s
3244 frames: done 100 games, mean reward 0.267, epsilon 0.96, speed 384.01 frames/s
3267 frames: done 101 games, mean reward 0.267, epsilon 0.96, speed 526.26 frames/s
3290 frames: done 102 games, mean reward 0.267, epsilon 0.96, speed 513.4 frames/s
3342 frames: done 103 games, mean reward 0.3, epsilon 0.96, speed 558.93 frames/s
3363 frames: done 104 games, mean reward 0.3, epsilon 0.96, speed 535.25 frames/s
3386 frames: done 105 games, mean reward 0.3, epsilon 0.96, speed 389.03 frames/s
3409 frames: done 106 games, mean reward 0.3, epsilon 0.96, speed 496.63 frames/s
3432 frames: done 107 games, mean reward 0.3, epsilon 0.96, speed 506.99 frames/s
3455 frames: done 108 games, mean reward 0.3, epsilon 0.96, speed 537.33 frames/s
3478 frames: done 109 games, mean reward 0.3, epsilon 0.96, speed 521.25 frames/s
3501 frames: done 110 games, mean reward 0.3, epsilon 0.96, speed 393.01 frames/s
3524 frames: done 111 games, mean reward 0.3, epsilon 0.96, speed 533.67 frames/s
3595 frames: done 112 games, mean reward 0.267, epsilon 0.96, speed 560.49 frames/s
3616 frames: done 113 games, mean reward 0.267, epsilon 0.96, speed 511.13 frames/s
3639 frames: done 114 games, mean reward 0.233, epsilon 0.96, speed 513.55 frames/s
3660 frames: done 115 games, mean reward 0.233, epsilon 0.96, speed 366.77 frames/s
3683 frames: done 116 games, mean reward 0.2, epsilon 0.96, speed 533.54 frames/s
3706 frames: done 117 games, mean reward 0.2, epsilon 0.96, speed 519.44 frames/s
3729 frames: done 118 games, mean reward 0.167, epsilon 0.96, speed 532.56 frames/s
3778 frames: done 119 games, mean reward 0.2, epsilon 0.95, speed 545.07 frames/s
3897 frames: done 120 games, mean reward 0.233, epsilon 0.95, speed 520.62 frames/s
3966 frames: done 121 games, mean reward 0.267, epsilon 0.95, speed 558.02 frames/s
3987 frames: done 122 games, mean reward 0.267, epsilon 0.95, speed 512.31 frames/s
4010 frames: done 123 games, mean reward 0.267, epsilon 0.95, speed 463.58 frames/s
4033 frames: done 124 games, mean reward 0.2, epsilon 0.95, speed 497.63 frames/s
4054 frames: done 125 games, mean reward 0.2, epsilon 0.95, speed 408.31 frames/s
4077 frames: done 126 games, mean reward 0.2, epsilon 0.95, speed 510.35 frames/s
4100 frames: done 127 games, mean reward 0.2, epsilon 0.95, speed 503.03 frames/s
4123 frames: done 128 games, mean reward 0.2, epsilon 0.95, speed 504.66 frames/s
4146 frames: done 129 games, mean reward 0.2, epsilon 0.95, speed 521.63 frames/s
4169 frames: done 130 games, mean reward 0.2, epsilon 0.95, speed 426.22 frames/s
4192 frames: done 131 games, mean reward 0.2, epsilon 0.95, speed 522.83 frames/s
4213 frames: done 132 games, mean reward 0.2, epsilon 0.95, speed 532.95 frames/s
4234 frames: done 133 games, mean reward 0.167, epsilon 0.95, speed 535.57 frames/s
4257 frames: done 134 games, mean reward 0.167, epsilon 0.95, speed 537.47 frames/s
4280 frames: done 135 games, mean reward 0.167, epsilon 0.95, speed 380.41 frames/s
4378 frames: done 136 games, mean reward 0.233, epsilon 0.95, speed 553.68 frames/s
4431 frames: done 137 games, mean reward 0.267, epsilon 0.95, speed 552.97 frames/s
4605 frames: done 138 games, mean reward 0.367, epsilon 0.95, speed 564.74 frames/s
4628 frames: done 139 games, mean reward 0.367, epsilon 0.94, speed 524.52 frames/s
4703 frames: done 140 games, mean reward 0.4, epsilon 0.94, speed 508.55 frames/s
4726 frames: done 141 games, mean reward 0.4, epsilon 0.94, speed 541.39 frames/s
4749 frames: done 142 games, mean reward 0.367, epsilon 0.94, speed 515.49 frames/s
4772 frames: done 143 games, mean reward 0.367, epsilon 0.94, speed 540.48 frames/s
4793 frames: done 144 games, mean reward 0.367, epsilon 0.94, speed 508.88 frames/s
4816 frames: done 145 games, mean reward 0.367, epsilon 0.94, speed 417.75 frames/s
4839 frames: done 146 games, mean reward 0.367, epsilon 0.94, speed 528.63 frames/s
4862 frames: done 147 games, mean reward 0.367, epsilon 0.94, speed 516.78 frames/s
4885 frames: done 148 games, mean reward 0.367, epsilon 0.94, speed 540.65 frames/s
4908 frames: done 149 games, mean reward 0.333, epsilon 0.94, speed 541.6 frames/s
4931 frames: done 150 games, mean reward 0.267, epsilon 0.94, speed 383.84 frames/s
4954 frames: done 151 games, mean reward 0.233, epsilon 0.94, speed 534.98 frames/s
4977 frames: done 152 games, mean reward 0.233, epsilon 0.94, speed 516.35 frames/s
5000 frames: done 153 games, mean reward 0.233, epsilon 0.94, speed 502.02 frames/s
5021 frames: done 154 games, mean reward 0.233, epsilon 0.94, speed 90.83 frames/s
5044 frames: done 155 games, mean reward 0.233, epsilon 0.94, speed 88.29 frames/s
5067 frames: done 156 games, mean reward 0.233, epsilon 0.94, speed 103.66 frames/s
5134 frames: done 157 games, mean reward 0.267, epsilon 0.94, speed 103.56 frames/s
5157 frames: done 158 games, mean reward 0.267, epsilon 0.94, speed 102.63 frames/s
5180 frames: done 159 games, mean reward 0.267, epsilon 0.94, speed 103.2 frames/s
5203 frames: done 160 games, mean reward 0.267, epsilon 0.94, speed 100.81 frames/s
5226 frames: done 161 games, mean reward 0.267, epsilon 0.94, speed 96.84 frames/s
5249 frames: done 162 games, mean reward 0.267, epsilon 0.94, speed 103.58 frames/s
5270 frames: done 163 games, mean reward 0.267, epsilon 0.94, speed 103.7 frames/s
5291 frames: done 164 games, mean reward 0.267, epsilon 0.94, speed 106.01 frames/s
